service_type,service_sub_type,bank_scope,detail_category,answer_type,sequence,question_text
Valuation of asset,Flat & Shop,,PART B - PRE-SITE VISIT,Tabular,9,"Approval validity, issuing authority verification"
Valuation of asset,Flat & Shop,,PART A - BANK / PARTY,Text,9,Shortcoming observed in documents
Valuation of asset,Flat & Shop,,PART D - POST SITE,Tabular,11,Other market values (FILL ONLY UBIN)
Valuation of asset,Flat & Shop,,PART D - POST SITE,Tabular,70,Was property valued earlier
Valuation of asset,Flat & Shop,,PART D - POST SITE,Radio,13,"Upload Work Order or Pay-in Receipt, only if fully paid"
Valuation of asset,Flat & Shop,,PART D - POST SITE,Checkbox,14,Upload The Annexures
Valuation of asset,L & B,,PART A - BANK / PARTY,Checkbox,4,List of documents produced for perusal (Ownership documents)
Valuation of asset,L & B,,PART A - BANK / PARTY,Checkbox,15,(From 1) In-case of Lease property - Details of the Lesser
Valuation of asset,L & B,,PART A - BANK / PARTY,Text,16,(From 1) In-case of leased property - Balance lease period
Valuation of asset,L & B,,PART A - BANK / PARTY,Checkbox,17,(From 1) In-case of leased property - Details as per lease agreement
Valuation of asset,L & B,,PART C - ONSITE,Text,3,Postal address of property (current address)
Valuation of asset,L & B,,PART C - ONSITE,Text,4,if any landmark
Valuation of asset,L & B,,PART B - PRE-SITE VISIT,Checkbox,19,Land use of property - as per latest document of Government approving agency
Valuation of asset,L & B,,PART D - POST SITE,Text,2,Any worryful deviation in Boundaries/ Neighborhood of the property
Valuation of asset,L & B,,PART C - ONSITE,Text,12,Latitude / Longitude / Coordinates of site
Valuation of asset,L & B,,PART C - ONSITE,Checkbox,16,Development of surrounding area done by -
Valuation of asset,L & B,,PART C - ONSITE,Checkbox,19,Level / contour of Land with topographical conditions
Valuation of asset,L & B,,PART B - PRE-SITE VISIT,Text,10,Approval & permission layout (date and approval number)
Valuation of asset,L & B,,PART C - ONSITE,Radio,32,Special remark (Distance from sea-coast / tidal level)
Valuation of asset,L & B,,PART C - ONSITE,Text,33,Prevailing market rate (sq.mtr. hectare)
Valuation of asset,L & B,,PART B - PRE-SITE VISIT,Text,12,Guideline rate (land) obtained from the collector/Registrar Office
Valuation of asset,L & B,,PART D - POST SITE,Text,6,Assessed / adopted rate of land (Rs. per sq mt or hectare)
Valuation of asset,L & B,,PART D - POST SITE,Text,7,Assessed / Estimated Value of Land (Rs. in lacs)
Valuation of asset,L & B,,PART C - ONSITE,Radio,36,Type of construction & Quality of construction
Valuation of asset,L & B,,PART B - PRE-SITE VISIT,Radio,15,Whether genuineness or authenticity of approved map / plan is verified
Valuation of asset,L & B,,PART B - PRE-SITE VISIT,Text,16,Any other comments by our empanelled valuers on authentic of approved plan
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Radio,1,Name of Valuer
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Radio,2,Name of Bank / FI as applicable
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Text,3,Name of Developer of the Property
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Text,5,Area of the plot/land
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Text,15,Layout plan of the area in which the property is located
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Text,25,Survey no. if any
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Text,23,Any other aspect in head Physical Characteristics of the Asset
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Text,34,Planning area/zone
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Text,25,Development controls
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Text,26,Zoning regulations
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Text,19,FAR/FSI permitted and consumed
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Text,20,"Transferability of development rights if any, Building bye-law"
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Checkbox,21,Comment on surrounding land uses
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Text,22,Comment on demolition proceedings if any
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Text,23,Comment on compounding/ regularization
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Text,24,Comment on unauthorized constructions if any
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Text,25,Comment on whether NOC has been issued or not
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Text,26,Any other aspect in head Town Planning Parameters
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Checkbox,10,Ownership documents
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Radio,27,Names of Owner/s
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Checkbox,28,Comment on dispute/issues of landlord
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Checkbox,59,Comment on whether the IP is independently accessible?
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Checkbox,29,Title verification
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Text,30,Details of leases if any
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Checkbox,31,Ordinary status of freehold or leasehold
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Checkbox,32,Agreements of easements if any
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Radio,60,Notification for acquisition if any
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Checkbox,61,Notification for road widening if any
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Checkbox,33,Heritage restrictions if any
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Radio,34,Comment on transferability of the property ownership
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Radio,35,Comment on existing mortgages/ charges/encumbrances
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Checkbox,62,Comment on whether the owners have issued any guarantee
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Text,36,"Building plan sanction, illegal constructions"
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Text,37,Any other aspect in head Legal aspect
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Text,38,Details of ground rent payable
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Text,63,Details of monthly rents being received if any
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Text,39,Taxes and other outgoings
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Radio,40,Property insurance
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Text,41,Monthly maintenance charges
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Text,42,"Security charges, etc"
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Text,43,Any other aspect in head Economic aspects
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Checkbox,44,"Description of the location (social structure, etc.)"
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Radio,45,Description of the functionality - Space allocation
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Radio,46,Description of the functionality - Storage spaces
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Radio,47,Description of the functionality - Utility of spaces
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Text,48,Description of the functionality - Any other aspect
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Radio,64,Description of aqua infrastructure - Water supply
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Radio,65,Description of aqua infrastructure - Sewerage
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Radio,66,Description of aqua infrastructure - Storm water
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Radio,67,Description of physical infrastructure - Solid waste
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Radio,68,Description of physical infrastructure - Electricity
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Radio,69,Description of physical infrastructure - Roads
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Tabular,69,Description of physical infrastructure - Other utilities
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Tabular,70,Social infrastructure in terms of In KM
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Checkbox,51,Analysis of the market - Locational attributes
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Checkbox,52,Analysis of the market - Scarcity
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Radio,53,Analysis of the market - Demand and supply
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Radio,70,Materials and technology used
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Radio,71,Specifications
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Radio,72,Maintenance issues
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Text,73,Age of the building
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Text,74,Total life of the building
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Radio,75,Extent of deterioration
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Radio,76,Structural safety
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Radio,77,Protection against natural disasters
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Radio,78,Visible damage in the building if any
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Radio,79,Common facilities
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Radio,80,System of air-conditioning
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Radio,81,Provision for firefighting
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Radio,54,Use of environment friendly building materials
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Radio,82,Provision for rain water harvesting
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Checkbox,83,Use of solar heating - Presence of environmental pollution
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Checkbox,84,Descriptive account (modern/old/heritage/etc)
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Radio,85,Proximity to residential areas
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Radio,86,Availability of public transport facilities
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Radio,55,A detailed analysis (valuation approach/data)
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Radio,56,Procedure adopted for arriving at the valuation
Valuation of asset,L & B,,PART A - BANK / PARTY,Text,9,If this report is to be used for any bank purpose
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Text,4,Date of inspection
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Text,5,Date of Valuation
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Checkbox,6,Purpose of Valuation
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Text,7,Name of Property Owner/s
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Text,8,Whether occupied by the owner / tenant?
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Tabular,9,Location of the property in the city
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Checkbox,10,Classification of the area
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Radio,11,Coming under Corporation limit
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Text,12,Postal address of the property
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Text,13,"Latitude, Longitude and Coordinates of the site"
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Checkbox,16,Development of surrounding areas
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Checkbox,17,Details of Roads abutting the property
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Radio,18,Whether Covered under any state / Center Government enactments
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Text,19,In case it is an agricultural land
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Tabular,20,Boundaries of the property as per document
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Text,21,Extent of the site considered for valuation
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Tabular,22,Description of Adjoining properties as per documents
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Tabular,23,Description of Adjoining properties as actual at site
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Tabular,24,Boundaries of the property actual at site
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Checkbox,26,Type of Building
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Tabular,27,Details of the building/buildings specifications
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Tabular,28,"Plinth area, Carpet area and Saleable area"
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Checkbox,29,Master plan provisions
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Tabular,30,Date of issue and validity of layout
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Radio,31,Whether genuineness or authenticity of approved map / plan is verified
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Text,32,Any other comments on authentic of approved plan
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Text,37,Ground coverage
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Checkbox,55,Possibility of frequent flooding / sub-merging
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Text,56,Special remark (acquisition/road widening/CRZ)
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Checkbox,87,Type of construction
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Text,108,Total Area of plot / land
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Text,109,Guideline rate (land) obtained from the collector/Registrar Office
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Text,109,Prevailing market rate in sq mt / hectare
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Text,110,Assessed/adopted rate
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Text,111,Estimated Value of Land
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Formula Based Calculation,112,Details of Valuation (Independent Building)
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Sum of Attribute,113,Extra Items if any
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Sum of Attribute,114,Amenities if any
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Sum of Attribute,116,Miscellaneous if any
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Sum of Attribute,117,Services if any
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Sum of Attribute,118,Total Abstract of the Entire Property
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Sum of Attribute,120,Guideline Value
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Tabular,121,Was property valued earlier
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Tabular,122,Valuer's Comment
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Text,123,Date of purchase of immovable property
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Text,124,Purchase Price of immovable property
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Text,125,Book value of immovable property
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Text,126,Realizable Value of immovable property
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Text,127,Distress Sale Value of immovable property
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Text,127,"Guideline Value (value as per Circle Rates), if applicable"
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Text,128,Fair Market Value of immovable property
Valuation of asset,L & B,,PART C - ONSITE,Radio,57,Prevailing market rate (Along with details/reference)
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Text,129,Details / reference of atleast two latest deals
Valuation of asset,L & B,,PART C - ONSITE,Radio,58,Number of light / Fan / Spare plug points
Valuation of asset,L & B,,PART A - BANK / PARTY,Checkbox,5,Document provided for perusal (Approval & Permissions)
Valuation of asset,L & B,,PART A - BANK / PARTY,Checkbox,6,Document provided for perusal (Statutory)
Valuation of asset,L & B,,PART A - BANK / PARTY,Checkbox,7,Document provided for perusal (Other)
Valuation of asset,L & B,,PART B - PRE-SITE VISIT,Checkbox,17,Land use of property - as per Search Report or TIR document
Valuation of asset,L & B,,PART C - ONSITE,Checkbox,58,Classification of locality
Valuation of asset,L & B,,PART D - POST SITE,Radio,17,Valuation Details (Mandatory) FOR CNRB ONLY
Valuation of asset,L & B,,PART D - POST SITE,Tabular,19,Other market values (FILL ONLY UBIN)
Valuation of asset,L & B,,PART D - POST SITE,Tabular,70,Was property valued earlier
Valuation of asset,L & B,,PART D - POST SITE,Radio,21,"Upload Work Order or Pay-in Receipt, only if fully paid"
Valuation of asset,L & B,Punjab National Bank,Punjab National Bank,Radio,130,"Upload Work Order or Pay-in Receipt, only if fully paid"
Valuation of asset,L & B,,PART C - ONSITE,Text,60,City / Town
Valuation of asset,L & B,,PART C - ONSITE,Radio,61,Residential Area
Valuation of asset,L & B,,PART C - ONSITE,Radio,62,Commercial Area
Valuation of asset,L & B,,PART C - ONSITE,Radio,63,Industrial Area
Valuation of asset,L & B,,PART B - PRE-SITE VISIT,Radio,1,Location of the property
Valuation of asset,L & B,,PART B - PRE-SITE VISIT,Text,2,Plot no. / Nagar / Survey No.
Valuation of asset,L & B,,PART B - PRE-SITE VISIT,Text,3,Door no. / House no
Valuation of asset,L & B,,PART B - PRE-SITE VISIT,Text,4,S.F. No. / T. S. No. / R.S. No.
Valuation of asset,L & B,,PART B - PRE-SITE VISIT,Text,5,Village / Block Taluk / Ward Mandal / District
Valuation of asset,L & B,,PART A - BANK / PARTY,Text,11,Property tax receipt referred (Period)
Valuation of asset,L & B,,PART A - BANK / PARTY,Text,11,Assessment number
Valuation of asset,L & B,,PART A - BANK / PARTY,Text,12,Tax Amount (Rs.)
Valuation of asset,L & B,,PART A - BANK / PARTY,Text,13,Receipt in the name of
Valuation of asset,L & B,,PART C - ONSITE,Text,62,Electricity service connection consumer number
Valuation of asset,L & B,,PART C - ONSITE,Text,64,Electricity connection In the name of
Valuation of asset,L & B,,PART C - ONSITE,Text,65,"Electricity connection others details, if any"
Valuation of asset,L & B,,PART C - ONSITE,Radio,66,Property is presently occupied by
Valuation of asset,L & B,,PART C - ONSITE,Text,67,"If tenanted fully, What is the gross monthly rent (Rs.)"
Valuation of asset,L & B,,PART C - ONSITE,Text,68,If occupied by both
Valuation of asset,L & B,,PART C - ONSITE,Text,69,By assuming the entire building is let out
Valuation of asset,L & B,,PART C - ONSITE,Text,70,(i) What is the probable monthly rent?
Valuation of asset,L & B,,PART C - ONSITE,Text,71,(ii) What is the advance amount?
Valuation of asset,L & B,,PART C - ONSITE,Text,72,Size of plot
Valuation of asset,L & B,,PART C - ONSITE,Text,73,Dimension of plot North & South
Valuation of asset,L & B,,PART C - ONSITE,Text,74,Dimension of plot East & West
Valuation of asset,L & B,,PART C - ONSITE,Text,75,Total area of plot / land
Valuation of asset,L & B,,PART C - ONSITE,Radio,76,Characteristics of the site
Valuation of asset,L & B,,PART C - ONSITE,Checkbox,77,What is the classification of the locality area
Valuation of asset,L & B,,PART D - POST SITE,Radio,22,Value on adopting GLR (Guideline Rate)
Valuation of asset,L & B,,PART D - POST SITE,Text,23,i) Guideline rate as obtained from the Registrar's Office
Valuation of asset,L & B,,PART D - POST SITE,Text,24,ii) Value of land by adopting GLR (Area X Rate) = Value
Valuation of asset,L & B,,PART C - ONSITE,Text,77,Whether occupied by the owner / tenant? If occupied by tenant
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Text,1,Summary Valuation Report on properties owned by Shri / Smt.
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Radio,2,Sr No. Particular
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Text,3,Name of the Branch
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Text,4,Name of the borrower
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Radio,5,Name of the Valuer / Firm
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Text,6,Date of visit by Valuer
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Text,7,Name of the Bank Official accompanied / visited with Valuer
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Radio,8,Description of Property / properties
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Text,9,Name of the owner / Mortgagor
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Text,10,Extent of area (in acres/hectors/sq meter / sq feet)
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Text,11,Survey no/ Gut no./ CST no. / House no
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Checkbox,12,Type of Land
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Checkbox,13,Nature of Property
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Checkbox,14,In possession of / Occupancy
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Checkbox,15,Location
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Radio,16,Boundaries
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Text,17,Market Value of the Property
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Text,18,Realizable Value of the Property
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Text,19,Distress Value of the Property
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Text,20,Value of the Property as per the Govt. Ready Reckoner
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Checkbox,21,Certified that the property is properly demarcated / un demarcated
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Checkbox,22,Purpose for which the valuation is made
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Text,23,Date of inspection
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Text,24,Date on which the valuation is made
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Checkbox,25,List of documents produced for perusal (Ownership documents)
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Checkbox,26,Document provided for perusal (Approval & Permissions)
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Checkbox,27,Document provided for perusal (Statutory)
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Checkbox,28,Document provided for perusal (Other)
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Text,29,Name of the owner(s) and his / their address (es) with Phone no.
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Checkbox,30,Brief description of the property (Including leasehold / freehold etc)
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Radio,31,Location of property
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Text,32,Plot no. / Survey No.
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Text,33,Door No.
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Text,34,T. S. No / Village
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Text,35,Ward / Taluka
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Text,36,Mandal / District
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Text,37,Postal address of the property
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Text,38,City / Town
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Radio,39,Residential Area
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Radio,40,Commercial Area
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Radio,41,Industrial Area
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Radio,42,Classification of Area
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Radio,43,High / Middle / Poor
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Radio,44,Urban / Semi Urban / Rural
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Radio,45,Coming under
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Radio,46,Whether Covered under any state/ Center Government enactments
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Checkbox,47,In case it is an agricultural land any conversion to house site plots is contemplated
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Radio,48,Boundaries of the property as per document
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Text,49,North
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Text,50,South
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Text,51,East
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Text,52,West
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Radio,53,Boundaries of the property Actual at site
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Text,54,North
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Text,55,South
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Text,56,East
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Text,57,West
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Radio,58,Dimensions of the site (As per the Deed)
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Text,59,North
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Text,60,South
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Text,61,East
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Text,62,West
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Radio,63,Dimensions of the site (As per the actual at site)
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Text,64,North
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Text,65,South
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Text,66,East
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Text,67,West
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Text,68,"Latitude, Longitude and Coordinates of the site"
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Text,69,Extent of the site
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Text,70,Extent of the site considered for valuation
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Text,71,Whether occupied by the owner / tenant?
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Checkbox,72,Classification of locality
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Checkbox,73,Development of surrounding areas
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Checkbox,74,Possibility of frequent flooding / sub - merging.
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Checkbox,75,Feasibility to the civic amenities
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Checkbox,76,Level of land with topographical conditions
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Checkbox,77,Shape of land
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Text,78,Type of use to which it can be put
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Checkbox,79,Any usage restriction
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Radio,80,Is plot in Town Planning
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Radio,81,Corner plot or Intermittent plot
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Radio,82,Road facilities
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Radio,83,Type of road available at present
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Checkbox,84,Width of the road - is it below 20 ft. or more then 20 ft.
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Radio,85,Is it a land - locked land ?
Valuation of asset,L & B,Bank of Maharashtra,Bank of Maharashtra,Checkbox,86,Water potentiality.
